k,a,result
1,0.001,2.069562
1,0.01,2.063227
1,0.1,2.058063
1,1,2.060175
2,0.001,2.145559
2,0.01,2.124560
2,0.1,2.106630
2,1,2.105785
3,0.001,2.228652
3,0.01,2.184075
3,0.1,2.145653
3,1,2.138032
4,0.001,2.315705
4,0.01,2.247368
4,0.1,2.186954
4,1,2.166109
5,0.001,2.361587
5,0.01,2.279762
5,0.1,2.206914
5,1,2.179301
6,0.001,2.762421
6,0.01,2.532312
6,0.1,2.329781
6,1,2.250843
7,0.001,3.691614
7,0.01,3.097546
7,0.1,2.582506
7,1,2.384024
8,0.001,2.907542
8,0.01,2.743671
8,0.1,2.614364
8,1,2.579754
9,0.001,2.694654
9,0.01,2.641082
9,0.1,2.598143
9,1,2.584705
10,0.001,2.608604
10,0.01,2.596650
10,0.1,2.587218
10,1,2.584649
11,0.001,2.593336
11,0.01,2.589239
11,0.1,2.585960
11,1,2.584941
12,0.001,2.591457
12,0.01,2.588604
12,0.1,2.586206
12,1,2.585158
13,0.001,2.586876
13,0.01,2.585931
13,0.1,2.585177
13,1,2.584952
14,0.001,2.584963
14,0.01,2.584963
14,0.1,2.584963
14,1,2.584963
15,0.001,2.584963
15,0.01,2.584963
15,0.1,2.584963
15,1,2.584963
